Country Name,Country Code,Series Name,Series Code,2002 [YR2002]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.454
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.89
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.23
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.386
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.536
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.408
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.018
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.726
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.9365853658537
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.6780487804878
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.239
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.232
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.088
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.612
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.366
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.0560975609756
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.0756097560976
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.752
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.606
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.631
